ts_utc,seq,source,temperature_c,humidity_pct,pressure_hpa,latency_ms,status,fault_type
2026-04-24T00:00:00Z,0,synthetic,22.232,64.459,1017.068,11.751,ok,none
2026-04-24T00:00:01Z,1,synthetic,20.298,43.746,1010.214,16.086,ok,none
2026-04-24T00:00:02Z,2,synthetic,,,,,missing,dropout
2026-04-24T00:00:03Z,3,synthetic,22.204,58.571,1022.377,55.492,ok,none
2026-04-24T00:00:04Z,4,synthetic,,,,,missing,dropout
2026-04-24T00:00:05Z,5,synthetic,21.555,73.289,1003.464,58.870,ok,none
2026-04-24T00:00:06Z,6,synthetic,26.037,67.285,1019.189,16.770,ok,none
2026-04-24T00:00:07Z,7,synthetic,25.520,68.176,1014.741,78.118,ok,none
2026-04-24T00:00:08Z,8,synthetic,20.458,44.116,1001.576,50.415,ok,none
2026-04-24T00:00:09Z,9,synthetic,22.780,60.427,1004.593,26.295,ok,none
2026-04-24T00:00:10Z,10,synthetic,29.367,60.921,1014.365,24.665,ok,none
2026-04-24T00:00:11Z,11,synthetic,23.795,74.581,1015.600,61.039,ok,none
2026-04-24T00:00:12Z,12,synthetic,27.760,44.162,991.284,57.923,ok,none
2026-04-24T00:00:13Z,13,synthetic,29.429,70.055,1002.587,28.742,ok,none
2026-04-24T00:00:14Z,14,synthetic,24.589,45.595,999.865,37.694,ok,none
2026-04-24T00:00:15Z,15,synthetic,28.978,50.976,998.773,28.392,ok,none
2026-04-24T00:00:16Z,16,synthetic,20.471,39.386,1015.098,45.667,ok,none
2026-04-24T00:00:17Z,17,synthetic,23.816,74.845,1011.165,39.551,ok,none
2026-04-24T00:00:18Z,18,synthetic,26.817,56.479,1000.673,388.289,ok,none
2026-04-24T00:00:19Z,19,synthetic,24.537,73.153,1025.034,17.809,ok,none
2026-04-24T00:00:20Z,20,synthetic,29.126,69.821,1001.938,45.041,ok,none
2026-04-24T00:00:21Z,21,synthetic,27.625,56.575,1021.145,52.628,ok,none
2026-04-24T00:00:22Z,22,synthetic,20.195,72.164,1025.149,10.040,ok,none
2026-04-24T00:00:23Z,23,synthetic,28.780,72.878,993.426,31.526,ok,none
2026-04-24T00:00:24Z,24,synthetic,27.658,40.136,1009.011,14.845,ok,none
2026-04-24T00:00:25Z,25,synthetic,24.231,43.472,1011.572,28.554,ok,none
2026-04-24T00:00:26Z,26,synthetic,29.951,60.995,1007.524,24.081,ok,none
2026-04-24T00:00:27Z,27,synthetic,23.381,58.532,999.205,18.470,ok,none
2026-04-24T00:00:28Z,28,synthetic,22.289,71.217,1024.385,14.970,ok,none
2026-04-24T00:00:29Z,29,synthetic,22.142,40.292,1027.421,26.660,ok,none
2026-04-24T00:00:30Z,30,synthetic,28.075,42.616,993.877,43.087,ok,none
2026-04-24T00:00:31Z,31,synthetic,27.291,61.935,1029.367,39.651,ok,none
2026-04-24T00:00:32Z,32,synthetic,28.617,44.946,997.608,38.183,ok,none
2026-04-24T00:00:33Z,33,synthetic,22.498,71.931,1007.725,39.532,ok,none
2026-04-24T00:00:34Z,34,synthetic,29.993,68.441,1028.760,48.523,ok,none
2026-04-24T00:00:35Z,35,synthetic,24.856,43.550,1006.042,69.409,ok,none
2026-04-24T00:00:36Z,36,synthetic,22.652,66.363,1008.200,36.528,ok,none
2026-04-24T00:00:37Z,37,synthetic,25.558,63.736,996.192,77.012,ok,none
2026-04-24T00:00:38Z,38,synthetic,25.422,64.919,992.287,77.810,ok,none
2026-04-24T00:00:39Z,39,synthetic,21.574,73.431,993.204,45.200,ok,none
2026-04-24T00:00:40Z,40,synthetic,22.352,39.795,1025.611,51.652,ok,none
2026-04-24T00:00:41Z,41,synthetic,24.192,58.347,1010.911,51.616,ok,none
2026-04-24T00:00:42Z,42,synthetic,22.387,50.831,1016.868,24.298,ok,none
2026-04-24T00:00:43Z,43,synthetic,20.725,53.331,1029.938,32.132,ok,none
2026-04-24T00:00:44Z,44,synthetic,22.652,72.330,1025.235,15.128,ok,none
2026-04-24T00:00:45Z,45,synthetic,28.337,63.142,1014.467,35.867,ok,none
2026-04-24T00:00:46Z,46,synthetic,22.994,61.536,1027.557,426.842,ok,none
2026-04-24T00:00:47Z,47,synthetic,25.532,45.894,1014.193,18.080,ok,none
2026-04-24T00:00:48Z,48,synthetic,22.640,54.541,1026.213,24.252,ok,none
2026-04-24T00:00:49Z,49,synthetic,22.767,35.142,1020.845,16.461,ok,none
2026-04-24T00:00:50Z,50,synthetic,25.517,52.107,990.387,28.337,ok,none
2026-04-24T00:00:51Z,51,synthetic,25.456,68.384,1013.300,71.817,ok,none
2026-04-24T00:00:52Z,52,synthetic,28.990,66.845,1024.428,18.921,ok,none
2026-04-24T00:00:53Z,53,synthetic,21.028,66.205,1025.365,24.705,ok,none
2026-04-24T00:00:54Z,54,synthetic,29.299,69.584,1029.048,53.446,ok,none
2026-04-24T00:00:55Z,55,synthetic,23.322,72.233,1022.089,394.626,ok,none
2026-04-24T00:00:56Z,56,synthetic,27.874,39.324,1024.887,66.752,ok,none
2026-04-24T00:00:57Z,57,synthetic,24.603,47.208,1021.814,25.570,ok,none
2026-04-24T00:00:58Z,58,synthetic,23.283,69.574,1028.676,11.657,ok,none
2026-04-24T00:00:59Z,59,synthetic,29.811,56.449,1027.569,54.904,ok,none
2026-04-24T00:01:00Z,60,synthetic,29.625,45.619,994.336,77.928,ok,none
2026-04-24T00:01:01Z,61,synthetic,26.062,55.457,1005.408,60.998,ok,none
2026-04-24T00:01:02Z,62,synthetic,20.017,72.023,1011.538,27.831,ok,none
2026-04-24T00:01:03Z,63,synthetic,23.642,37.799,1016.570,61.937,ok,none
2026-04-24T00:01:04Z,64,synthetic,27.198,47.013,1002.371,31.974,ok,none
2026-04-24T00:01:05Z,65,synthetic,21.273,51.818,1027.615,38.168,ok,none
2026-04-24T00:01:06Z,66,synthetic,23.009,56.917,990.016,73.196,ok,none
2026-04-24T00:01:07Z,67,synthetic,26.547,53.600,1007.686,40.092,ok,none
2026-04-24T00:01:08Z,68,synthetic,27.960,41.788,993.392,43.123,ok,none
